"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-01","24","27","21"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-02","25","30","19"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-03","27","34","20"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-04","35","40","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-05","32","38","25"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-06","29","35","22"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-07","32","36","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-08","31","37","25"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-09","33","42","24"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-10","38","44","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-11","40","47","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-12","31","37","24"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-13","39","46","31"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-14","46","52","39"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-15","42","47","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-16","46","57","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-17","37","43","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-18","34","39","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-19","35","40","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-20","39","44","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-21","36","41","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-22","35","42","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-23","33","40","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-24","39","44","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-25","41","49","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-26","35","43","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-27","28","35","21"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-28","28","37","19"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-29","29","36","21"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-30","31","42","20"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-01-31","36","42","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-01","42","47","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-02","42","52","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-03","39","49","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-04","41","51","31"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-05","47","56","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-06","43","54","31"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-07","45","55","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-08","44","55","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-09","47","56","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-10","42","53","31"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-11","43","48","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-12","41","45","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-13","37","43","31"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-14","51","61","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-15","41","50","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-16","39","46","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-17","37","47","27"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-18","33","45","21"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-19","37","50","24"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-20","43","52","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-21","51","61","40"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-22","46","56","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-23","43","53","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-24","36","43","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-25","34","45","23"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-26","40","46","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-27","45","49","40"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-28","42","48","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-02-29","41","45","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-01","42","50","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-02","44","54","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-03","43","55","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-04","50","66","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-05","50","60","39"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-06","43","50","35"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-07","41","47","35"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-08","43","51","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-09","39","45","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-10","39","50","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-11","41","49","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-12","39","51","27"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-13","44","58","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-14","49","56","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-15","42","50","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-16","43","50","35"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-17","39","47","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-18","42","54","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-19","40","50","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-20","38","50","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-21","40","54","25"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-22","52","66","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-23","42","52","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-24","44","57","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-25","52","66","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-26","50","66","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-27","53","64","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-28","42","50","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-29","40","50","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-30","41","55","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-31","45","62","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-01","51","66","35"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-02","56","70","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-03","55","72","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-04","61","79","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-05","50","63","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-06","51","61","41"
